	sentiment	review
0	1	Appodeal, Inc. https://www.appodeal.com/privacy-policy/
1	0	No personal information should be submitted to NOVA GEIMS, OOO by users under the minimum legal age required in their country of residence.
2	0	The security of your Personal Information is important to us, and we strive to implement and maintain reasonable, commercially acceptable security procedures and practices appropriate to the nature of the information we store, in order to protect it from unauthorized access, destruction, use, modification, or disclosure.
3	1	Crazy Maple Studio and its affiliates (“Crazy Maple Studio”, “us”, “our” or “we”) are dedicated to protecting the privacy rights of our users (“users” or “you”). This Privacy Policy (the “Policy”) describes the ways we collect, store, use, and manage the information, including personal information, that you provide or we collect in connection with our websites or any Crazy Maple Studio’ game provided on a mobile platform (for example, iOS and Android)(collectively, the “Service”). Please note that the scope of this Policy is limited to information collected or received by Crazy Maple Studio through your use of the Service. Crazy Maple Studio is not responsible for the actions of third party people or companies, the content of their sites, the use of information you provide to the, or any products or services they may offer. Any link to those sites does not constitute our sponsorship of, or affiliation with, those people or companies.
4	0	5.3 As an international company, CXZH.LTD provides company information to our local branch offices all over the world to further aid in providing products and services. It is possible that the personal information you submit to us may be transmitted to these other CXZH.LTD branch offices. For example, the personal information provided by a European customer at the time of product registration may be transmitted to a server in the USA and then transmitted to one or more servers of our branch offices in Europe. Meanwhile, in some countries or regions, our subcontractors may handle your information in the process of helping CXZH.LTD provide products and services to you and/or in handling information collection, transmission, storage and processing for us.
5	1	This Service may contain links to other sites. If you click on a third-party link, you will be directed to that site. Note that these external sites are not operated by us. Therefore, we strongly advise you to review the Privacy Policy of these websites. We have no control over and assume no responsibility for the content, privacy policies, or practices of any third-party sites or services.
6	1	NUMBER FINDER may provide links to other websites through the mobile applications by NUMBER FINDER or connected to NUMBER FINDER. NUMBER FINDER can publish the advertisements, application forms, announcements, surveys of 3rd parties which had an agreement with. NUMBER FINDER may lead the Users through these forms, announcements, surveys and advertisers to websites / services / to mobile applications of the advertising or negotiated 3rd parties. NUMBER FINDER bears no liability in relation to any kind of privacy practices and policies of the third party web sites and / or mobile applications accessed through this link, and also for any visual, textual or any kind of content that they contain.
7	0	LIKE will use commercially reasonable security measures to protect your data. For example, under certain conditions, LIKE may use the universally accepted SSL encryption system to ensure the security of information transfer.
8	0	If we collect and use your personal information in reliance on our legitimate interests (or those of any third party), this interest will normally be to operate our Platform and services, manage our relationship with you and communicate with you as necessary to provide our services to you and for our legitimate commercial interest, for instance, when responding to your queries, improving our Platform and our services, undertaking marketing, or for the purposes of ensuring the security of our Platform and services and detecting or preventing illegal activities such as fraud. We may have other legitimate interests and if appropriate we will make clear to you at the relevant time what those legitimate interests are.
9	1	We have identified the provider names of the third-party analytics and Ad network providers that our apps may use. Please see the links below to learn more about the data practices of our third-party service providers (including opt-out mechanisms they may offer):AdColony: https://www.adcolony.com/privacy-policy/Google AdMob: https://www.google.com/intl/en/policies/privacy/MoPub: https://www.mopub.com/legal/privacy/AppLovin: https://www.applovin.com/privacyFacebook Audience Network: https://www.facebook.com/policy.phpInMobi: https://www.inmobi.com/privacy-policy/UnityAds: https://unity3d.com/legal/privacy-policyVungle: https://vungle.com/privacy/TapJoy: http://info.tapjoy.com/about-tapjoy/privacy-policy/Chartboost: https://answers.chartboost.com/en-us/articles/200780269ConsoliAds: http://web.consoliads.com/privacy-policy/LifeStreet: http://www.lifestreet.com/privacy/Aerserv: https://www.aerserv.com/privacy-policy/
10	0	Third Party Services. Our Services may contain third party tracking and data collection and analytics tools from our service providers, examples of which include Tenjin (https://tenjin.io), and Mopub (https://mopub.com). Such third parties may use cookies, APIs, and SDKs in our Services to enable them to collect and analyze user and device related data and information on our behalf. The third parties may have access to and collect data and information about you, such as your device identifier, geo-location information, IP address, application usage, access and session times, applications present on the device or in use at a particular time on the device, and your viewing of and interactions with advertising, for the purpose of providing their services, including, for example, enabling, providing and delivering advertising as described in further detail below.
11	1	Advertisements contained on Our Games operate as links to that advertiser’s websites and as such any information they collect by virtue of Your clicking on that link will be collected and used in accordance with the privacy policy of that advertiser.
12	1	On the websites and within the mobile applications of CXZH.LTD, there are many links to other companies or mobile applications, which have established cooperative relationships with us. CXZH.LTD assumes no responsibility for the privacy criteria adopted by our commercial copartners. We recommend that you read their privacy policies, which may involve different contents.
13	0	6.1. We may  transfer and maintain on our servers or databases some of your personal information outside the European Economic Area (EEA) including in Russia.
14	0	You may also reach us by the following address:Bigo Technology Pte. Ltd.
15	0	Right to erasure / right to be forgotten
16	0	We will not share any personal information that we have collected from you except for the following events:If we are required by law to disclose your information, we may share your information with law enforcement or other competent authorities and any third party, as may be required (e.g., to detect, prevent or otherwise address fraud, security, or technical issues; to respond to claims or satisfy any legal process, subpoena, or governmental request; or to protect the rights, property, or personal safety of the team’s users, its partners, or the general public);In the event the team goes through a business transition such as a merger or acquisition by another company, consolidation, change of control, reorganization, or sale of all or a portion of its assets, your information will be among the assets transferred;We may share your information with certain third parties (including, without limitation, search engines, content providers, and advertising networks and platforms) that provide various services (such as advertising, marketing, analysis, content, payment, and search) in connection with the Software and the Services. We take appropriate measures to ensure that no user can be individually identified from the disclosure of such information, and we require these third parties (i) to keep the data secured; (ii) not to use the data for any other purpose other than to provide us with Services; and (iii) to use the data solely in compliance with this Privacy Policy. If you want to delete any personal data which we have shared with the third parties, please contact us by email at: game.logo.word.guessing.puzzle@gmail.com. We would try our best to notify the third party of deleting the relative personal data, but no warranty as to the deletion is made by us.Third-Party Content.
17	0	We store your information for as long as needed to provide you with our services. We may store information longer, but only in a way that it cannot be tracked back to you. We delete the information as soon as we do not need them for providing our services, unless a longer retention period is required or permitted by applicable legislation.
18	0	Cookies will expire once the user closes the browser or logs out of the browser.
19	0	9.1. We take  technical, organizational and legal measures, including, where suitable, encryption, to ensure that your personal data are protected from unauthorized or accidental access, deletion, modification, blocking, copying and dissemination.
20	1	The Service may contain links to other websites.
21	1	The privacy policies of our service providers may include additional terms and disclosures regarding their data collection and use practices and tracking technologies, and we encourage you to check those privacy policies to learn more about their data collection and use practices, use of cookies and other similar tracking technologies.
22	0	Personal information is information that identifies you and that may be used to contact you online or offline. We collect personal information from you on a voluntary basis as described below. Our primary goals in collecting and using information is to create your account, provide Services to you, improve our Services, contact you, conduct research and create reports for internal use and for use with our partners.
23	1	Our Service may contain links to and from other websites and services. We are not responsible for the privacy practices or the content of any third party sites. Please check the individual privacy policy of any such websites or services before you submit any personal information to them.
24	1	Our Site and Applications contain links to third-party websites. Any access to and use of such linked websites is not governed by this Policy, but instead, is governed by the privacy policies of those third-party websites. We are not responsible for the information practices of such third-party websites.
25	0	Security. We have implemented appropriate technical, organizational and security measures designed to reduce the risk of accidental destruction or loss, or the unauthorized disclosure or access to such information appropriate to the nature of the information concerned. However, please note that we cannot guarantee that the information will not be exposed as a result of unauthorized penetration to our servers. As the security of information depends in part on the security of the computer, device or network you use to communicate with us and the security you use to protect your user IDs and passwords, please make sure to take appropriate measures to protect this information.
26	1	We are proud to offer a free, advertising-supported, version of Tunnellight VPN. On the free version of Tunnellight VPN, you may see some generic ads that our ad partners place in front of certain apps or websites. Keep in mind that we do not target these ads based on your personal information.
27	1	Some of the Services may be characterized by interaction with our Trusted Partners. Therefore, we may share some of your personal information with our Trusted Partner, which will be protected based on their privacy policies. Due to the optionality of such access, it will be preceded by your explicit consent, which you can always withdraw.
28	1	We have no control over and assume no responsibility for the content, privacy policies or practices of any third party sites or services.
29	0	Information We Collect Automatically; Cookies and Other Tracking Technologies
30	0	1.3. What information does this Privacy Policy apply to? Specifically, this Privacy Policy governs personal data (or, in the USA, personally identifiable information) and applicable non-personal information (or, in the USA, non-personally identifiable information), which we collect from you when you are using the Nordeus Services (“personal data” means information which, on its own or in combination with other information, can be used to identify you).
31	0	 Understand and analyze aggregate usage trends, improve the Services, and develop new products, services, features, and functionality
32	1	Therefore, you are encouraged to review the privacy policies of all third parties' services. Without limiting anything in the following section, we are not liable in any way for the actions, inactions or policies of any external services. 
