	sentiment	review
3418	1	Your username and password
771	1	We receive and store any information you knowingly provide to us. For example, through the registration process and/or through your account settings, we may collect Personal Data such as your email address and third-party account credentials (for example, your log-in credentials for Facebook or other third party sites).
1097	0	In addition to the information contained in this privacy policy, this Application may provide the User with additional and contextual information concerning particular services or the collection and processing of Personal Data upon request.
1390	1	"In order to use the app, we will ask you to enter your current weight and height, target weight, fitness level, problem body area, and food preferences. You will be able to use the App even if you do not give this data to us. If you do not want to provide us this information, please tap on the ""Next Step"" button on the screens where we ask this data. We also automatically collect from your device language settings, IP address, time zone, type and model of a device, device settings, operating system, Internet service provider, mobile carrier, hardware ID, Facebook ID, and other unique identifiers (such as IDFA and AAID). We need this data to provide our services, analyze how our customers use the app, to serve ads."
3252	1	Usage Information. To help us understand how you use our Services and to help us improve them, we automatically receive information about your interactions with our Services, like the pages or other content you view, the searches you conduct, any content you post, and the dates and times of your visits.
773	1	Riders and delivery recipients may use the Uber app without enabling Uber to collect their location information. However, this may affect the functionality available on your Uber app. For example, if you do not enable Uber to collect your location information, you will have to manually enter your pickup address. In addition, location information will be collected from the driver during your trip and linked to your account, even if you have not enabled Uber to collect your location information.
4459	0	o logistics partners for providing delivery services for Buyers, including return and exchange of products, and warehousing services for Sellers;
316	1	Information You Provide to Us:Narvii collects Personal Data about you when you provide such information directly to us, when third parties such as our business partners or service providers provide us with Personal Data about you, or when Personal Data about you is automatically collected in connection with your use of our Services.
4396	1	All Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without any consequences on the availability or the functioning of the service.
4720	0	As part of our international operations, we may transfer personal information to our affiliates (which means subsidiaries, parent companies, joint ventures, and other corporate entities under common ownership of NOVA GEIMS, OOO from time to time for our legitimate business purposes.
3022	1	When You download CarX Technologies mobile application by or through a Third Party Platform You allow us to access and/or collect certain information from your Third Party Platform profile/account (for example, Your name, surname, e-mail, etc.). You additionally allow us to access information contained in cookies placed on your device by the Third Party Platform as permitted by the terms of your agreement and privacy settings with the Third Party Platform. We may share this information with the Third Party Platform for their use as permitted by the terms of your agreement and privacy settings with the Third Party Platform.
1098	0	Personalisation and Service Cookies: These cookies are used to remember your computer or mobile device when you visit a website. They remember your registration and login details and your settings and preferences such as language and region. They are also used to ensure you don’t have to login every time you use your browser to comment on articles and to ensure interactive services work effectively. Personalization cookies are also used to recommend content we think you'll be interested in by serving and measuring relevant advertising, based on what you've looked at before.
3002	1	Please note that device information, log information, etc., cannot be independently used to identify information on a specific natural person. If we combine such non-personal information with other information to identify a specific natural person, or use the same in combination with personal information, such non-personal information shall be deemed to be personal information during the period in which the information is used in combination with personal information, and unless authorized by you or otherwise provided for by laws and legislations, we will anonymize or de-identify such personal information.
5097	0	To register with Adobe, to create an Adobe ID, and to use some Adobe websites, apps, products or services, the provision of some information is mandatory: if relevant information is not provided, then we will not be able to administer an Adobe account to you, or provide you with the websites, apps, products or services requested. All other provision of your information is optional. Providing optional information will help us offer you a better experience, such as more personalized or tailored content or offerings.
4611	0	Uber may share the information we collect:With other users
4477	1	Personal Information We Collect Automatically When You Use the Services
2382	1	Information We Collect
2407	0	Parents can review the personal information we have collected from their child and request them to be deleted.  Parents can also revoke their previously provided consent to collection or use of the child’s information.  If you are a parent and wish to review, modify, or delete your child’s personal information, or withdraw consent, you can submit a request to our Privacy Administrator at the address, e-mail address or telephone number provided below.
4837	1	In addition, the Application may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browsers you use, and information about the way you use the Application. 
464	0	We retain your Personal Data as long as we have an ongoing legitimate business need to do so for example to provide services or products to you, or as required or permitted by applicable laws, such as tax and accounting laws.
5346	0	Personal data is only collected in so far as it is technically required to provide the service, improve it (including games) and running analyzes. In no case will the data collected be sold or unlawfully passed on to third parties for any other reasons.
4807	1	Content created when using the service. It includes creating or uploading different kinds of content to the App, including without limitation, photos, text, messages, posts, html, URLs, pictures, video and other content (collectively, “User Contributed Content”), and the metadata that is provided with the content. As you upload User Contributed Content you should be mindful of your privacy as well as the privacy of others.
156	1	Collection from your mobile device photos or photo gallery
4284	1	Information about you collected from third parties
482	1	As is true with most websites, we gather certain information automatically and store it in log files. This information may include a unique identifier such as your Internet Protocol (IP) address and non-personal information such as your browser type, Internet Service Provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data. We may combine this automatically collected log information with other information we collect about you.
2949	0	What are my opt-out rights?
203	0	Contact you about Service announcements, updates or offers
3871	0	2. Right of access: you can request a copy of your data.
4074	0	To personalize our ads
3592	1	The following information is collected by or on behalf of Uber:Information you provide
2461	0	Where the use of your information is based on consent, you can withdraw this consent at any time without affecting the lawfulness of processing based on consent before its withdrawal. Requests should be submitted by contacting us through [dpo@ushareit.com].
2429	1	Certain usage related information regarding your use and interaction with the Software and the Service, such as how frequency you use them, your search queries and the time and date of your searches.
2187	1	We may collect information about your subscription orders, such as purchase items, subscription time, order status, payment time, order ID. But your payment details provided is collected by third-party payment processor, not by us. Therefore, you shall check and review the Privacy Policy of the third-party payment processor before you provide any information.
2390	0	9.1.4 If you do not want CXZH.LTD to transfer Cookies into your web browser, you may change your web browser setting to refuse Cookies or notify you when any website is attempting to this transaction. This refusal shall affect your option to use certain products and/or services provided on our websites.
4286	1	When you use our Apps, we may collect additional information by using device identifiers that permit identification of your device. Such information is used for advertising and analytics purposes.
4185	0	We will use your information to run, maintain and improve the Nordeus Services as well as to communicate with you (e.g. with newsletters or emails). Sometimes we may share information with partners in order to run our services.
1765	0	Trip.com will generally collect and use your personal information for the following purposes:
3173	1	Usage Information. We collect information about your activity through our services. We may collect information including but not limited to:- How you interact with the services, such as which filters you view or the number of times apply to discover.
1125	1	Automatic log updates.Automated data collection does not lead to profiling that significantly affects GOGO LIVE users, but simply gives GOGO LIVE a clear picture of its users and influencers
3849	1	We may collect and record information through the SN Service in accordance with the policies and terms of that SN Service. The information we collect when you connect your user account to an SN Service may include: (1) your name, (2) your SN Service user identification number and/or user name, (3) locale, city, state and country, (4) sex, (5) birth date, (6) email address, (7) profile picture or its URL, and (8) the SN Service user identification numbers for your friends that are also connected to Crazy Maple Studio’ game(s).
4708	0	Personal data do not include anonymous data that do not relate to an identified or are not identifiable in relation to concrete User as well as depersonalized data.
227	0	Finally—and this is important—you should understand that users who see the content you provide can always save it using any number of techniques: screenshots, in-app functionality, or any other image-capture technology. It’s also possible, as with any digital information, that someone might be able to access messages forensically or find them in a device’s temporary storage. If any deletion of user information of our App happens, we cannot promise that deletion will occur within a specific timeframe. And we may also retain certain information in backup for a limited period of time or as required by law.
2877	0	We work with third-party partners who help us provide and improve our Products or who use Facebook Business Tools to grow their businesses, which makes it possible to operate our companies and provide free services to people around the world. We don't sell any of your information to anyone, and we never will. We also impose strict restrictions on how our partners can use and disclose the data we provide. Here are the types of third parties we share information with:Partners who use our analytics services.
