	sentiment	review
295	0	Personal data is transferred via certified entities under the Privacy Shield or, 
5457	0	Other parties authorized by you
3440	1	If you have any questions about this Privacy Policy, please contact us at help@hakuna.live. Any personally identifiable information provided in connection with inquiries related to this Privacy Policy will be used solely for the purpose of responding to the inquiry and consistent with our Privacy Policy.
3808	1	If you have any questions or concerns about our use of your personal information, please contact us at:The data controller of your personal information is A Thinking Ape Entertainment Ltd.© 2017–2018 A Thinking Ape Entertainment Ltd.
3264	0	From time to time, Ubisoft may employ third-party vendors, to collect personal information on Ubisoft's behalf for technical purposes. These third parties provide internal support to Ubisoft by operating some of the Services we provide you, including without limitation email services, payment processing within our Services or our online shop, and for online product fulfilment. If we solicit third parties to collect personal information on our behalf, we require all such third parties to comply with and adhere to this Privacy Policy. Although these third-party vendors, not Ubisoft, collect the personal information you provide when requesting such Services, they do not share your personal information with third parties nor will the personal information shared with such third parties be used for marketing purposes without your consent.
29	1	If you’d like to learn more about AppLovin, please visit the Privacy Policy page of AppLovin: https://www.applovin.com/privacy
4320	0	Data retention periods for other Processors are indicated by the links above.
1518	1	Email: privacy@roosterteeth.com
2007	1	If there are any questions regarding this privacy policy you may contact us using the information below. We love hearing your voice. Let’s contact us and stay connected! Email address: init.dream.sp@gmail.com
1345	1	If you have any questions regarding privacy while using the DVloper (DVapps AB) Applications, or have questions about our practices, please contact us via email at dvloper.apps@gmail.com .
5248	0	If your personal information changes, or if you no longer desire our service, you may correct, update, or delete inaccuracies by making the change within your account settings or by contacting us at cshw@99trillion.com. We will respond to your access request within 30 days.
4777	0	Information that is received about you as the result of other users’ actions on the Services (in particular, information posted in chat rooms and forums by other users)
319	0	We may modify this Privacy Policy from time to time. If we decide to make material changes to this Privacy Policy, you will be notified through our Service or by other available means and will have an opportunity to review the revised Privacy Policy. By continuing to access or use the Service after those changes become effective, you agree to be bound by the revised Privacy Policy.
3946	1	If you have any questions or comments about this Privacy Policy, please contact us at privacypolicy@kwalee.com
866	1	If you have any questions about this Privacy Policy, please contact us:By email: privacy@aeriacanada.com
5416	1	If you have any questions or comments about this Policy, please contact us at info@samharris.org.
4827	1	If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email: solovpn.co@gmail.com
4042	1	Krasnoarmeyskaya 64, Ulyanovsk, 432011, Russian Federation
2286	1	In compliance with the Privacy Shield Principles, Narvii commits to resolve complaints about your privacy and our collection or use of your personal information transferred to the United States pursuant to Privacy Shield. European Union individuals with Privacy Shield inquiries or complaints should first contact Narvii at:legal@aminoapps.com
2311	1	You can contact us online or by mail at:
3567	0	You may also share information with us directly. Certain areas and features of the Applications may require registration, account set-up and verification, including verification that you are over the age of 18 in order to complete your registration. You may be asked to give us some or all of the following information
3496	0	Fulfill user requests
525	1	If you have any questions about this Privacy Policy, please contact us at ferroentertainment@gmail.com
4118	0	to verify your eligibility to use certain features of the service, to contact you in reply to your complaints, or to exercise any rights in our Terms of Use.
3689	1	If you have any questions about this Policy, please contact us at support@crazymaplestudio.com
3088	0	We may share your information with certain third parties (including, without limitation, search engines, content providers, and advertising networks and platforms) that provide various services (such as advertising, marketing, analysis, content, and search) in connection with the Software and Services. We take appropriate measures to ensure that no user can be individually identified from the disclosure of such information, and we require these third parties (i) to keep the data secured, (ii) not to use the data for any other purpose other than to provide us with Services and (iii) to use the data solely in compliance with this Privacy Policy. If you want to delete any personal data which we have shared with the third parties, please contact our Data Protection Officer by email at:
2629	1	GREEN PANDA GAMES - 48 rue Sarrette - 75685 PARIS CEDEX 14 SAS with a capital of 1,000 € - SIRET: 791889330 00019
5005	1	For more details and frequently asked questions about our policies, read our Security, Privacy and GDPR FAQs
2262	0	If we ask you to provide personal information to comply with a legal requirement or to enter into a contract with you, we will make this clear at the relevant time. We will advise you whether the provision of your personal information is mandatory or not (as well as of the possible consequences if you do not provide your personal information). In some instances, you may be required to provide us with personal information for processing as described above, in order for us to be able to provide you all of our services, and for you to use all the features of our Platform.
3534	0	LIKE has zero tolerance to any form of child abuse or exploitation. Your data (including private messages) may be shared with law enforcement agencies if we have reasonable grounds to believe that you have engaged in child pornography, or if we are requested to do so by law enforcement agencies.
276	1	If there are any conflicts between this section and any other provision of this Privacy Policy, the policy or portion that is more protective of Personal Data shall control to the extent of such conflict.  If you have any questions about this section or whether any of the following applies to you, please contact us at support@inkitt.com.
580	0	Information you have shared with others (e.g. through comments or other posts) will remain visible after you close your account or delete the information from your own account, and we do not control data that other users copied out of our Services.
3735	0	All capitalized terms not defined in this document shall have the meanings ascribed to them in the Terms of Use of the Sites, which can be found here
1447	1	If you have questions about or need further information concerning the legal basis on which we collect and use your personal information, please contact us in-game or at:Cookies and similar tracking technology
2964	0	We share information with law enforcement or in response to legal requests in the circumstances outlined below.
2054	0	If you purchase any premium services while using Topface, we will process your payment information and securely store it to prevent fraud, as well as for audit and / or tax purposes. In accordance with the data protection law, we need to collect and process these payment data in order to fulfill our obligations to you; the preservation of this data is justified by our legitimate interests set out above.
