	sentiment	review
0	1	SayGames has the following contact information:SayGames LLC
1	0	Right to erasure / right to be forgotten
2	0	"Cookies. Ubisoft uses cookies on the Services. A ""cookie"" is a small bit of record-keeping information that web sites often store on a user's computer. Cookies do not include people's names, e-mail addresses, or other information that is personally identifiable; they are typically used to quickly identify a user's computer and to ""remember"" things about the user's visit. Ubisoft may set cookies for your web browser as you visit our websites, use our products or visit a website where Ubisoft provides ads, content or analytics. For example, Ubisoft uses cookies to keep track of selected items in your shopping cart on our online store and to remember your Account identifier. You can disable cookies or set your browser to alert you when cookies are being sent to your computer, although this may affect your ability to shop online or to access certain features of our Services. Each browser is different, so check the ""Help"" menu of your browser to learn how to change your cookie preferences. In addition to Ubisoft using cookies on our network of websites, Ubisoft may allow certain partners to set and access their cookies on your computer. These companies use of cookies is subject to their own privacy policies, not the Ubisoft Privacy Policy. Please review them carefully. For more information about cookies, please see http://www.allaboutcookies.org. You can see the list of companies that may implement and/or access cookies on your computer, mobile or device, and how to opt-out to such cookies at https://legal.ubi.com/cookies/"
3	1	If you have questions about or need further information concerning the legal basis on which we collect and use your personal information, please contact us in-game or at:Cookies and similar tracking technology
4	0	"We use third-party advertising companies to serve ads when you visit the Websites and/or use the Mobile Apps. These companies may use information about your visits to any of the Websites and other websites and the Mobile App(s) and other mobile applications in order to provide advertisements about goods and services of interest to you. You have the ability to opt out of the use of your information for purposes of online third-party advertising. If you would like more information about your choices, visit optout.aboutads.info. You may have the ability to manage tracking and ad preferences on your mobile device from your devices settings. We do not respond to Web browser ""do not track"" signals or other similar mechanisms."
5	0	You may have the right to request that we correct information that we have inaccurately stored. You may also have the right to have incomplete personal data completed, including by means of providing a supplementary statement.
6	1	If you have questions or wish to send us comments about this Privacy Policy, please send an e-mail with your questions or comments to support@homerapp.com or write us:Conscious Content Media Inc. (d/b/a Learn with Homer) located at 460 Park Avenue South, 4th Floor, NY, NY 10016.
7	0	You shall be extra careful and not disclose your personal information to unrelated third parties, since such information may be used in different ways and against your interests, including activities such as fraud, invasion of privacy, identity theft, etc.
8	1	Any questions or complaints or comments about this Privacy Policy or our use of your personal information, please contact our Privacy Policy Administrator by:email at emea-email-support@ubisoft.com or,
9	1	If you have any questions or complaints about our Privacy Policy, you can contact us at Octaaf Soudanstraat 22, Sint-Denijs-Westrem, 9051 Belgium or privacy@musescore.com. When we receive such inquiries about our Privacy Policy, we will use the Personal Information (such as your email address) only to respond to your question or comment. However, if your question raises one or more issues that affect our promotional partners, we may also share your question with them in order to provide a response.
10	0	This Privacy Policy will be periodically revised and may be changed with or without notice. The updated Privacy Policy will be posted on the UCWeb sites. By using or continuing to use the Services you agree to review the Privacy Policy periodically such that you are aware of any modifications. If you do not agree to the Terms of Use or this Privacy Policy, you should not use any of the UCWeb Services.
11	0	Unity Ads https://unity3d.com/legal/privacy-policy
12	1	If you have questions about this Privacy Policy, please e-mail us at Privacy@Camsurf.com. with “Privacy Policy” in the subject line. For all other questions, please use the information provided in the Terms of Use to contact us.
13	0	TAXI GAMES FREE reserves the right to update this policy at any time, so please re-visit this page frequently. In case of any material change, we will make reasonable efforts to post a clear notice on the service.
14	0	Collection of Personally Identifiable Information
15	1	Cyber Terror Response Center of the National Police Agency http://cyber.go.kr 182
16	1	If you have any queries about this Policy, please contact Rooster Games using the contact details below.
17	0	We do not use the Application to knowingly solicit data from or market to children under the age of 13. If a parent or guardian becomes aware that his or her child has provided us with information without their consent, he or she should contact us at support@gamebeartech.com. We will delete such information from our files within a reasonable time.
18	0	Notwithstanding the forgoing, we may share information about you with certain third parties based on the legal basis in Articles 6(1)(b), 6(1)(c) and 6(1)(f) of the GDPR as follows
19	1	You may also EMAIL us, so if you have any questions about this Policy, please contact us at pnix_support@gmail.com.
20	1	If you have any questions regarding the collection or processing or use of your personal data, information (including access to personal data, rectification or limitation of processing, or opposition to the submission, as well as the right to transfer data) please contact us: dpo@wearerealitygames.com. If you want your data deleted, please contact feedback@landlordgame.com
21	1	If you have any requests, questions or concerns about our use of your Personal Data and this Privacy Policy, please contact us at DataProtection.AE@aliexpress.com (for AliExpress.com users) or DataProtection@service.alibaba.com (for Alibaba.com users).
22	1	8.4. Who should you contact if you would like to exercise these rights? If you would like to exercise any of these rights or have any queries regarding them, please contact support@nordeus.com.
23	0	All information we hold is stored on our secure servers (which we own or license from appropriate third parties). We use industry standard procedures and security standards to prevent unauthorised access to our servers, however no online service or website can be completely secure, so please protect the account information in your possession as well.
24	1	You can contact the authorized person for the protection of personal data Topface, sending a letter to the email address: dpo@topface.com
25	1	3 Krinou Street, 6th floor,
26	0	We would like to inform you that BOOMHITS is a regulated entity to which an obligation can be imposed to disclose your personal data, on the basis of a request by the authorized state authorities or in connection with other legal entities.
27	1	If you have any questions about this Policy, please contact us at contact@candivore.com.
28	0	If there is any inconsistency or ambiguity between the English version and any other language version, the English version shall prevail.
29	0	This Privacy Policy applies only to the Services on which this Privacy Policy is made available by Ubisoft and not to websites, networks or platforms maintained by other companies or organizations to which we may provide links. Please note, however, that when you link to foreign sites or any other third party sites from our Services, this Privacy Policy no longer applies. Ubisoft does not control the activities on those third party services and cannot and does not guarantee the security of any personal information disclosed on those third party services.
30	0	The security of your Personal Information is important to us, and we strive to implement and maintain reasonable, commercially acceptable security procedures and practices appropriate to the nature of the information we store, in order to protect it from unauthorized access, destruction, use, modification, or disclosure.
31	1	In compliance with the Privacy Shield Principles, Narvii commits to resolve complaints about your privacy and our collection or use of your personal information transferred to the United States pursuant to Privacy Shield. European Union individuals with Privacy Shield inquiries or complaints should first contact Narvii at:legal@aminoapps.com
32	0	In principle, once the personal data’s purpose of collection/use is achieved, the Company destroys the subject personal data without delay in accordance with the respective retention/use period. The procedure, method, and time for destroying personal data are as follows:(1) Procedures for destroying personal data
33	1	If you have any questions about this Privacy Policy or the Services, please contact us at support@GOGOLIVE.com
34	0	How Long Do We Retain Your Personal Data? We retain Personal Data about you for as long as you have an open account with us and for up to 30 days after you close your account. In some cases we retain Personal Data for longer, if doing so is necessary to comply with our legal obligations, resolve disputes or collect fees owed, or is otherwise permitted or required by applicable law, rule or regulation. Afterwards, we retain some information in a depersonalized or aggregated form but not in a way that would identify you personally.
35	0	Security Safeguards
36	0	You may modify your account information on your profile page at any time. If you believe the personal information we have about you is inaccurate, you may also email us at any time to update such inaccurate information.
37	0	We may change our Privacy Policy from time to time, without prior notice to you, consistent with applicable privacy laws and principles. Your continued use of the Site or Services constitutes your acceptance of our Privacy Policy.
38	1	If you have questions about this policy, here’s how you can reach us:support@belkatechnologies.com
39	1	In Korea, if a dispute arises between the Member and the Company with respect to personal data-related matters, the Member may contact any one of the following agencies and seek consultation regarding a possible privacy violation.
40	0	We can change this Privacy Policy, but if we do we will put the changed version online and normally it will take effect 30 days afterwards. Please feel free to contact us if you have any questions with regards to the changes.
41	0	3. Provision of personal information to third parties
42	1	For any problem, please contact us at bricksXball@gmail.com
43	0	Parents/guardians of children under the age of 13 can email us an official request to review any personally identifiable information collected about their child, have this information deleted, and/or request that there be no further collection or use of their child's personally identifiable information. We will take steps to verify the identity of anyone requesting personally identifiable information about a child and to ensure that the person is in fact the child's parent or legal guardian.
44	0	Alexadra Games takes reasonable measures to help protect information about you from loss, theft, misuse and unauthorized access, disclosure, alteration and destruction.
45	0	When you have withdrawn your consent, we will no longer process the corresponding personal information. However, your decision to withdraw your consent will not affect the processing of personal information previously based on your authorization.
46	0	a. Personal Information. We do not store Personal Information and therefore we do not disclose your Personal Information.
47	1	If you have any questions regarding this Privacy Policy, please contact us by sending an email to polestar@hotmail.com.
48	1	If you have any questions or suggestions about my Privacy Policy, do not hesitate to contact me at web.prineside@gmail.com.
49	1	The identity and contact detail of the BLUEHOLE PNIX is:Bluehole PNIX (Business Registration number 215-87-68786),(Daechi-dong, Jenith Tower) 3 Floor 557, Yeoksam-ro, Gangnam-gu, Seoul, Korea
50	0	We are committed to protecting the privacy of all people who use our services. Being a New Zealand company, we comply with New Zealand’s Privacy Act 1993 (“Privacy Act”) and follow the privacy principles that are a part of the Privacy Act. Additionally, we seek to comply with acts from the United States of America, which are: COPPA, the United State’s Children’s Online Privacy Protection Act, and CAN-SPAM, which covers the transmission of commercial email messages with the primary purpose of advertising or promoting a product. For Individuals located in the EU, we also seek to follow the EU General Data Protection Regulation (“GDPR”). For purposes of this Privacy Policy Notice and GDPR, PikPok is the data Controller with regard to any data we collect from you, unless otherwise specified.
51	1	If you have any questions regarding our Privacy Policy, please contact our privacy officer:Email: unisoftgames2018@gmail.com
52	1	PHONE : +90 258 242 242 7
53	1	You may exercise any of the rights described in this section by sending an email to pnix_support@gmail.com. Please note that we may provide you with a form that you can fill out, and ask you to verify your identity before taking further action on your request.
54	1	This privacy policy page was created at privacypolicytemplate.net and modified/generated by App Privacy Policy Generator
55	0	If you are located in the European Union or other regions with laws governing data processing that may differ from U.S. law, please note that we may transfer information, including personal information, to a country and jurisdiction that does not have the same data protection laws as in your jurisdiction.
56	0	If you do not submit personal information when asked by Ubisoft, your refusal may limit our ability to process your online product registration, Account creation, contest registration, purchase via our online store, or request for technical support.
57	0	If you would like to object to Facebook using your data for marketing purposes, please use the Facebook opt-out settings provided in your user profile: https://www.facebook.com/settings?tab=ads or opt -www.regardingads.info/choices web Http://www.youronlinechoices.com for users or EU users. Your choices shall be taken into account when using desktops or mobile devices, regardless of platform or device.
58	0	Software and services over the Internet work. We may store and process your information around the world. According to legal requirements, if you are located in the EEA, you hereby expressly agree to transfer your data after you use this software and / or services outside the EEA place. You can withdraw your consent at any time.
59	0	This Application collects some Personal Data from its Users.
60	0	If you request, we will provide you a copy of your personal data in an electronic format.
