	sentiment	review
1968	1	Who does A Thinking Ape share my personal information with?
1800	1	We do not sell your personal information to third parties. We will not share your or your child’s information with third parties other than the necessary service providers as indicated below.
4669	0	To keep you informed of offers and promotions for which you have specifically opted-in Consent
2657	1	Share with our service providers and partners
3758	1	Provided that the disclosure conforms to the laws, in cases where it is mandatory to ensure the safety and security of the users or the public or the other items which have public significance, it may disclose the personal information.
925	1	We do not rent or sell your Personal Data in personally identifiable form to anyone. We may share your Personal Data with third parties as described in this section:Data that's been de-identified: We may de-identify your Personal Data so that you are not identified as an individual, and provide that information to our partners. We may also provide aggregate usage information to our partners (or allow partners to collect that information from you), who may use such information to understand how often and in what ways people use our Services, so that they, too, can provide you with an optimal online experience. However, we never disclose aggregate usage or de-identified information to a partner (or allow a partner to collect such information) in a manner that would identify you as an individual person.
621	1	7.1 We may from time to time use third party advertisers or sponsors on our Service. In the event that we do so we will not disclose identifiable information about individuals but we may provide them with aggregated information about our users. We may also use such aggregated information to help advertisers reach the kind of audience they want to target (for example, men in London). We may make use of the personal information we have collected from you to enable us to comply with our advertisers' and sponsors' wishes by displaying their advertisement to that target audience.
4256	0	Provide custom, personalized content and information
163	0	To make it easier for your contacts and other people to reach you and recognize who you are, the screen name you choose, your profile pictures, and your username (should you choose to set one) on Telegram are always public. We don't want to know your real name, gender, age or what you like.
3500	0	If you use our games , we may receive anonymous crash and usage data of your android device and apps. In addition to the above, we may use the information we collect to: Provide, maintain, and improve our services and develop new services.
3083	1	Twilio USA Transmitted via network during sign-ups Emails listed in Article 1 above
1877	1	We do not use the facial tracking and mapping information to identify individuals or to target advertising. We do not share facial tracking and mapping information with third parties.
443	0	If you have any questions or concerns regarding our privacy policies, please send us a detailed message to support@inkitt.com, and we will try to resolve your concerns.
2986	0	For your protection and the protection of all of our users, we may ask you to provide proof of identity before we can answer the above requests. Keep in mind, we may reject requests for certain reasons, including if the request is unlawful or if it may infringe on trade secrets or intellectual property or the privacy of another user. If you wish to receive information relating to another user, such as a copy of any messages you received from him or her through our service, the other user will have to contact our Privacy Officer to provide their written consent before the information is released.
1999	0	Information you provide to us
4330	0	Mimo may change, update, suspend, make improvements to, or discontinue aspects of the services.
218	1	Business Transfers. Your Personal Information may also be used by us or shared with our affiliates controlled by the Organization for internal reasons. If another entity acquires us or all or a portion of our assets, Personal Information, Usage Information, and any other information that we have collected about the users of the Services may be disclosed to such entity as part of the due diligence process and will be transferred to such entity as one of the transferred assets. Should such a sale or transfer occur, we will use reasonable efforts to direct the transferee to use information you have provided through the Services in a manner that is consistent with this Policy. Also, if any bankruptcy or reorganization proceeding is brought by or against us, all such information may be considered an asset of ours and as such may be sold or transferred to third parties.
2668	0	We use cookies and similar tracking technologies to track the activity on our Service and hold certain information.
