	sentiment	review
3146	0	You have the right to withdraw consent that you have given to the collection and processing of your personal data at any time. If you do withdraw your consent to the collection and processing of your personal data, that withdrawal shall not affect the lawfulness of any processing by Overmobile that is based on the consent you have given before you withdrew it.
4997	1	and we will promptly remove you from ALL correspondence.
1807	1	You are always free to opt out from the future collection of your personal information by OUTFIT7 in accordance with this Privacy Policy by uninstalling all the Apps from each of your computing devices.
1815	0	Where we transfer your information outside of the EEA, we have agreements in place with those parties which include standard data protection clauses adopted by a data protection regulator and approved by the European Commission to ensure that appropriate safeguards are in place to protect your personal data.  If you would like to find out more about these safeguards, please let us know by writing to privacypolicy@kwalee.com.
2249	1	As noted above, you may limit advertising tracking using advertising identifiers through your mobile device’s privacy settings.
4766	0	To communicate with you about any career requests, contact forms, helpdesk support and to understand how you use our Services so that we can continuously improve our offerings, our legal basis is performance of a contract, legitimate interests or consent depending on the particular case to keep our users updated about our Services and our new features in accordance with your preference, and to continue to improve the Services we offer.
5288	1	We may send periodic promotional or informational emails to you. You may opt-out of such communications by following the opt-out instructions contained in the e-mail. Please note that it may take up some time for us to process opt-out requests. If you opt-out of receiving emails about recommendations or other information we think may interest you, we may still send you e-mails about your account or any Services you have requested or received from us. If you want to review, delete, or change the information we have about you, no longer want us to make active use of your information, or have additional questions, please send an email to us at the following address: privacy@bolegames.com with your request and identifying information in the body of the email, including your first name, last name, e-mail address or login name you use to access our Application and Services. We will respond to your email as soon as possible. Please note that certain records, for example those relating to payments or customer service matters, will be held for legal and accounting purposes. We may not be able to delete content posted on a public forum through the Services, if applicable. If you have previously allowed us to access your geolocation data or receive push notifications, you can stop making geolocation available to us or receiving push notifications by visiting your mobile device's settings for the relevant Application or in some cases, through the Application itself. In some instances you can also stop or limit the type of cookies you allow. Please note that you may lose some of the features and functionality of our Services and Applications because accepting cookies may be necessary to track and enhance your game play and other activities.
3578	1	Uber provides means for you to see and control the information that Uber collects, including through:in-app privacy settingsdevice permissions
3683	0	Information that we collect automatically
4197	0	Our correspondence with our support team will be kept longer so that we can use it for any subsequent requests that may arise. Such correspondence deleted after 3 years in the absence of requests.
3713	0	AppGenre built the FanGenre - Get Followers for Instagram app as a Free app. This SERVICE is provided by AppGenre at no cost and is intended for use as is.
2439	0	For example, some of our services require you to sign up with your social media account or phone number. When you do, we’ll ask for personal information like your email address, telephone number to store with your account. If you want to take full advantage of the sharing features we offer, we might also ask you to register with a Facebook account or telephone number, which may include your Facebook name and photo.
4679	0	·      To protect the rights of users of FINDNOW or any other persons’ rights or security,
1718	0	We may share non-personal publicly and with our partners – like publishers, advertisers or connected sites. For example, we may share information publicly to show trends about the general use of our services.
1915	0	Information we get when you use our services
1228	0	Separate from our consumer applications, AnchorFree licenses its technology to third party partners for integration with their applications. This Privacy Policy may also apply to our partner applications. However, this Privacy Policy does not apply to the extent that we only process Personal Information on behalf of our partners as part of third party partner products. To learn more about the processing of your Personal Information in that context, please refer to the relevant partner’s privacy policy.
114	1	If you do not wish to receive notifications from us or be served with targeted advertisements you can opt-out by changing your advertising and notification settings on your device directly.
619	1	By using our application, you consent to our privacy policy.
